
Equipo         : CLASIFICADOR_ESPIRAS_02 
Lugar          : -34.8907, -57.9107      
Descripcion    : Tiro Federal sentido LP 
Fecha Inicio   : 16/12/24 12:51:33       
Archivo        : REG03322.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : LP lenta                
        VIA 2  : LP rapida               
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
13:17:31 1 0 2 078 0491 0.68
13:17:34 1 0 1 057 0449 0.80
13:17:34 1 0 2 070 0563 0.74
13:17:38 1 0 1 053 0543 0.55
13:17:39 1 0 2 084 0547 0.62
13:17:52 1 0 1 063 0443 0.48
13:17:54 1 0 2 080 0830 1.01
13:18:04 1 0 2 062 0456 1.09
13:18:07 1 0 2 096 0514 0.84
13:18:16 1 0 2 088 0460 0.96
13:18:21 1 0 2 071 0511 1.09
13:18:21 1 0 1 039 1453 0.49
13:18:28 1 0 1 064 0443 1.01
13:18:33 1 0 2 081 0511 1.01
13:18:39 1 0 2 070 0465 1.04
13:18:43 1 0 2 069 0485 0.89
13:18:46 1 0 2 078 0400 0.47
13:18:49 1 0 2 065 0449 1.19
13:18:50 1 0 2 069 0469 0.81
13:18:51 1 0 2 070 0472 1.01
13:18:59 1 0 1 050 0455 0.77
13:19:00 1 0 2 073 0475 0.98
13:19:04 1 0 1 056 0536 0.98
13:19:07 1 0 1 072 0454 1.10
13:19:08 1 0 2 079 0472 1.04
13:19:11 1 0 2 079 0479 1.21
13:19:13 1 0 1 055 1220 1.36
13:19:13 1 0 2 065 0464 1.11
13:19:16 1 0 1 057 0449 1.13
13:19:18 1 0 1 059 0472 1.13
13:19:21 1 0 2 063 0484 1.10
13:19:22 1 0 2 064 0466 0.45
13:19:34 1 0 2 083 0485 0.97
13:19:37 1 0 2 069 0483 0.94
13:19:40 1 0 1 030 0883 0.86
13:19:41 1 0 2 060 0493 1.12
13:19:42 1 2 2 000 0000 0.07
13:19:52 1 0 1 056 0487 1.16
13:19:53 1 0 2 074 0488 0.96
13:19:56 1 0 2 085 0566 0.77
13:20:04 1 0 2 095 0458 0.94
13:20:05 1 0 1 070 0507 1.02
13:20:11 1 0 1 073 0494 1.08
13:20:13 1 0 2 096 0470 1.09
13:20:18 1 0 1 069 0462 1.08
13:20:22 1 0 1 072 0476 1.07
13:20:22 1 0 2 082 0449 0.94
13:20:31 1 0 1 075 0469 0.84
13:20:34 1 0 1 070 0630 1.19
13:20:34 1 0 2 090 0561 0.99
13:20:44 1 0 2 087 0489 1.04
13:20:46 1 0 1 060 0465 1.02
13:20:46 1 0 2 080 0488 1.22
13:20:49 1 0 1 055 0489 1.40
13:20:53 1 0 2 079 0511 0.96
13:20:55 1 0 2 078 0469 1.00
13:20:55 1 0 1 059 0456 1.05
13:21:02 1 0 1 057 0452 1.09
13:21:04 1 0 1 063 0492 1.36
13:21:12 1 0 2 078 0517 1.21
13:21:13 1 0 1 062 0457 1.05
13:21:21 1 0 1 050 0404 0.91
13:21:21 1 0 2 068 0480 1.06
13:21:24 1 0 2 070 0442 0.31
13:21:24 1 2 1 000 0000 0.08
13:21:38 1 0 1 061 0482 1.01
13:21:38 1 0 2 088 0508 1.20
13:21:41 1 0 2 096 0481 0.85
13:21:45 1 0 1 066 0494 1.33
13:22:03 1 0 2 100 0475 1.19
13:22:04 1 0 1 071 0780 0.26
13:22:08 1 0 2 081 0510 1.00
13:22:12 1 0 2 067 0460 1.20
13:22:16 1 0 1 051 0424 1.03
13:22:18 1 0 2 084 0494 1.13
13:22:19 1 0 1 076 0379 0.40
13:22:26 1 0 1 064 0458 1.19
13:22:33 1 0 1 071 0532 0.84
13:22:38 1 0 1 064 0456 1.14
13:22:40 1 0 1 065 0489 1.03
13:22:42 1 0 1 069 0506 1.23
13:22:44 1 0 2 074 0515 0.60
13:22:48 1 0 2 076 0506 1.
